text,label,notes
"TITLE: THE OKLAHOMA CITY THUNDER HAVE BEEN ELIMINATED FROM 2026 NBA CHAMPIONSHIP CONTENTION
BODY: After the loss in game 7 against the San Antonio Spurs, the Oklahoma City Thunder are eliminated from 2026 NBA Championship contention
https://www.espn.com/nba/boxscore/_/gameId/401873203
Fade 'em",reaction,
Champagnie was Undrafted out of college and he is playing like 20 minutes a game in the WCF making league minimum money. That’s fucking crazy.,reaction,
perhaps we shouldnt be calling teams a dynasty after 1 chip lol,hot_take,
"[Noh] My salary model has Trae Young at $115.1 million in value over the next four years, assuming an average of 70 games played / 34 mpg. That makes his $212 million contract underwater by $97 million. (link to model in post)",analysis,
"I’m going to zag here and say it saves a nice salary spot for a team that wasn’t going to get any free agents over the next 3 seasons. Whether they get to use it is another story, but people often underrate how valuable it is having a single player that can soak up a salary slot that high.",analysis,
"The only reason it’s not a terrible terrible overpay is because they really don’t have to pay anyone for the next few years
    Carrington wont demand much on his rookie extension
    Sarr isn’t due for an extension for another year and won’t be worth a max
    AJ /Peterson won’t be due for an extension by the team this deal is over
    Kyshawn same as Sarr
    Tre Johnson won’t be due an extension for another two years",analysis,
"Wizards finally got off the Beal contract 3 years ago, to now have to find a way to get off the Trae contract",hot_take,
"I actually like this model because it confirms all my biases lmao. It has Brunson as being worth 53 million, Cade only being worth 46 million, and Haliburton being worth only 31 million",reaction,borderline reaction vs analysis; mostly reacting to the salary model
"I actually think Trae Young is kind of underrated by reddit/analytics people. Dude’s crazy talented and can really work in the right environment.
But 53 million per and a player option is crazy at his age and coming off his last season.",analysis,
"If his model includes players on rookie scale contracts it's probably completely fucked  Edit: just want to clarify I don't think the model is thaaaaat off, but I do think it's leaning pretty hard because of the data it looks at.",analysis,
"What do you think guys is the right package for Giannis?
Ofc Giannis > Brown as a player.
But Brown is in his prime too. And just had a great season.
What Celtics need to put as an add ons to sweeten the deal?
Do they have good draft assets? Or they will add another young player? (I am not sure if they have who are good enough as a sweetener)",analysis,"borderline because it asks questions, but it weighs player value and assets"
"Man, I just don’t have a good feeling about this as a Celtics fan
You know how some trades you’re happy and excited about, like you want them to happen and feel good when they do
I both feel really strange about this one and have a feeling it’s not gonna work out for us if it happens",reaction,
"Crazy mismanagement by the Bucks if they pass on Boston's offer if that's actually the offer Edit: I see people mentioning that the Bucks might just keep JB instead of flipping him to a 3rd team. If that happens, that's even crazier mismanagement",hot_take,
Miami’s package essentially guts their team. Who else is left? Powell. Wiggins. Davion Mitchell. So it’s Mitchell/Powell/Wiggins/Giannis/Bam as the starters and then zero bench.,analysis,
"You let brown play out next year where you don’t own your own first round pick, then flip him in the summer of 27 where is contract becomes a bit more palatable.
Picks from a team you’re sending Giannis to doesn’t move the needle. Take the Boston deal 10/10",analysis,
